unique_ID	sample_ID	species	coverage	field_ID	Location	read_type	eco	calcua_read_location	calcua_alignment_location
22	hofrichteri_D8	hofrichteri	5X	KYT_08	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D8_1.fq.gz,data/raw_data/hofrichteri_D8_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D8.fixmate.sort.markdup.rg.bam
23	hofrichteri_D9	hofrichteri	5X	KYT_29	Kythira	fqz_1_2	slender	data/raw_data/hofrichteri_D9_1.fq.gz,data/raw_data/hofrichteri_D9_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/hofrichteri_D9.fixmate.sort.markdup.rg.bam
24	orientalis_4616STDY8352652	orientalis	30X	GWG_St2	Saronida	fqz_1_2	stout	data/raw_data/orientalis_4616STDY8352652_1.fq.gz,data/raw_data/orientalis_4616STDY8352652_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_4616STDY8352652.fixmate.sort.markdup.rg.bam
25	orientalis_D13	orientalis	15X	KYT_33	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D13_1.fq.gz,data/raw_data/orientalis_D13_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D13.fixmate.sort.markdup.rg.bam
26	orientalis_D14	orientalis	15X	KYT_34	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D14_1.fq.gz,data/raw_data/orientalis_D14_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D14.fixmate.sort.markdup.rg.bam
27	orientalis_D15	orientalis	5X	KYT_35	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D15_1.fq.gz,data/raw_data/orientalis_D15_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D15.fixmate.sort.markdup.rg.bam
28	orientalis_D16	orientalis	5X	KYT_36	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D16_1.fq.gz,data/raw_data/orientalis_D16_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D16.fixmate.sort.markdup.rg.bam
29	orientalis_D17	orientalis	5X	KYT_37	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D17_1.fq.gz,data/raw_data/orientalis_D17_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D17.fixmate.sort.markdup.rg.bam
30	orientalis_D18	orientalis	5X	KYT_38	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D18_1.fq.gz,data/raw_data/orientalis_D18_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D18.fixmate.sort.markdup.rg.bam
31	orientalis_D19	orientalis	5X	KYT_39	Kythira	fqz_1_2	stout	data/raw_data/orientalis_D19_1.fq.gz,data/raw_data/orientalis_D19_2.fq.gz	results/Alignment/GCF_900634775.1_fGouWil2.1/orientalis_D19.fixmate.sort.markdup.rg.bam
